scene,status,ssim,chains,particles,animated,render_ms
2518584315,ok,0.6765,6,10,True,5.6
2534345520,ok,0.7174,8,20,True,5.3
2537852389,ok,0.8181,5,16,True,4.9
2558608866,ok,0.622,1,1,True,5.2
2577798775,ok,0.8076,2,4,True,4.3
2581587068,ok,0.7793,1,0,True,4.6
2599989258,ok,0.7737,1,3,True,4.5
2606813733,ok,0.6871,5,24,True,5.2
2615129487,ok,0.8725,1,4,True,3.5
2638202643,ok,0.6943,0,2,True,2.6
2655882090,ok,0.7589,2,15,True,4.5
2677254062,ok,0.7101,3,7,True,4.8
2709098446,ok,0.7854,4,7,True,5.0
2790820524,ok,0.6729,0,4,True,4.7
2837913474,ok,0.8169,1,7,True,2.6
2842195484,exit1,,,,,
2845873700,ok,0.5996,6,13,True,7.1
2883256928,ok,0.8914,0,0,True,0.6
2891436791,ok,0.6293,1,1,True,5.9
2908791635,ok,0.6814,0,0,True,1.8
2942124347,ok,0.6343,1,1,True,4.3
2952281182,ok,0.5901,7,59,True,6.1
2997239055,ok,0.603,6,4,True,8.5
2997430321,ok,0.6513,1,2,True,4.7
3005334833,ok,0.5003,5,22,True,2.1
3009311583,ok,0.5946,7,5,True,5.1
3012607163,ok,0.6305,1,2,True,4.6
3014651247,ok,0.6589,1,2,True,4.8
3016047975,ok,0.7051,1,6,True,4.8
3018595139,ok,0.7387,1,1,True,5.0
3019642163,ok,0.6495,1,0,True,4.8
3021923840,ok,0.6684,1,2,True,4.6
3022848405,ok,0.8382,1,0,True,4.8
3028769236,ok,0.6028,1,1,True,4.7
3029865244,ok,0.9093,1,3,True,4.8
3030064107,ok,0.778,2,3,True,5.2
3034574479,ok,0.6273,0,1,True,2.3
3034882619,ok,0.6436,1,3,True,5.0
3036853201,ok,0.5112,3,1,True,2.2
3039625231,ok,0.7112,9,9,True,5.4
3045522422,ok,0.698,0,6,True,4.4
3046119914,ok,0.623,0,0,False,1.4
3046959262,ok,0.7105,1,1,True,5.7
3050160027,ok,0.6198,1,2,True,4.6
3108470997,ok,0.7886,1,2,True,4.9
3118949804,ok,0.7615,3,1,True,3.4
3120519113,ok,0.7137,1,0,True,4.9
3127755243,ok,0.5875,1,0,True,4.2
3131831042,ok,0.6769,1,1,True,5.4
3135696887,ok,0.6427,0,0,True,1.3
3147734654,ok,0.6509,1,1,True,4.8
3154070641,ok,0.8621,2,1,True,3.6
3173987010,ok,0.769,1,0,True,2.8
3213046325,ok,0.6215,0,3,True,4.7
3233657360,ok,0.7136,2,7,True,4.5
3234870706,ok,0.6857,8,1,True,5.1
3238423642,ok,0.7149,2,18,True,5.1
3247245645,ok,0.5897,2,11,True,5.1
3249059656,ok,0.7139,1,4,True,3.2
3252854272,ok,0.8071,1,4,True,2.8
3260370312,ok,0.583,2,3,True,4.6
3261715807,ok,0.7146,5,6,True,5.5
3271600829,ok,0.8372,2,3,True,5.1
3273312916,ok,0.6301,3,6,True,4.8
3273352986,ok,0.5845,3,4,True,5.0
3275335644,ok,0.6493,1,3,True,4.6
3288653715,ok,0.6451,5,3,True,4.8
3298625483,ok,0.7131,1,11,True,5.0
3299228616,ok,0.5778,38,42,True,6.0
3302695207,ok,0.7982,10,3,True,5.0
3311420365,ok,0.7438,5,10,True,4.8
3324805657,ok,0.7347,7,11,True,5.6
3374716539,ok,0.833,1,1,True,4.7
3377347120,ok,0.5611,0,0,False,1.4
3385705614,ok,0.6831,0,3,True,6.4
3393455874,ok,0.5936,0,1,True,4.1
3409113394,ok,0.6322,0,0,False,1.4
3411850907,ok,0.6554,1,0,True,4.7
3413921910,ok,0.725,6,5,True,5.1
3414163476,ok,0.568,0,0,False,1.5
3414950124,ok,0.5362,0,0,False,1.4
3415026279,ok,0.7597,0,0,False,1.4
3415040207,ok,0.6842,0,0,False,1.5
3416276560,ok,0.7958,1,0,True,4.6
3428951136,ok,0.6898,5,1,True,4.0
3433400550,ok,0.5032,3,8,True,1.5
3433482345,ok,0.6632,0,0,False,1.3
3435726855,ok,0.5566,0,0,False,1.7
3435940653,ok,0.8243,0,0,False,1.6
3438559696,ok,0.6066,9,2,True,7.0
